id,parameter_set_id,source,qualifier,amount,units
18468,1904,System,min,30.0000,kW
18469,1904,System,max,1000.0000,kW
18470,1904,Incentive,,0.1100,"$/kWh (5 years)"
20087,358,Incentive,max,20.0000,Years
20178,2458,Incentive,,0.0000,"$/kWh (10 years)"
20179,2459,Incentive,,0.0000,"$/kWh (10 years)"
20637,3658,Incentive,,1250.0000,$/Unit
20638,3659,Incentive,min,1250.0000,$/Unit
20639,3659,Incentive,max,12500.0000,$
20640,3660,Incentive,min,750.0000,$/Unit
20641,3660,Incentive,max,2500.0000,$
21023,155,Incentive,max,7500.0000,$
21024,155,Incentive,max,37500.0000,$
21025,155,System,min,1.0000,kW-DC
21026,155,System,max,50.0000,kW-DC
21027,155,Incentive,,1.0000,$/W-DC
21052,3768,Incentive,min,0.1300,"$/kWh (10 years)"
21053,3768,System,max,40.0000,kW-DC
21054,3769,System,max,10.0000,kW-DC
21055,3769,Incentive,min,0.2300,"$/kWh (10 years)"
21056,3770,System,max,40.0000,kW-DC
21057,3770,Incentive,min,0.1500,"$/kWh (10 years)"
21096,2235,Incentive,max,400.0000,$
21097,2236,Incentive,max,600.0000,$
21098,2237,Incentive,,100.0000,$/Unit
21099,2237,Incentive,max,400.0000,$
21249,2473,System,min,5.0000,kW-DC
21250,2473,System,max,10.0000,kW-DC
21251,2473,Incentive,min,0.2300,"$/kWh (15 years)"
21257,2065,Incentive,,35.0000,%
21258,194,Incentive,,35.0000,%
21283,2037,Incentive,,0.0500,$/kWh
21284,2037,System,min,10.1000,kW
21285,2037,System,max,100.0000,kW
21393,494,Incentive,max,10000.0000,$
21394,494,Incentive,,2.5000,$/W-DC
21396,158,System,max,2000.0000,
21455,2027,Incentive,,0.2500,$/W-DC
21456,2027,System,max,1.0000,MW
21457,2027,Incentive,max,1375.0000,$
21458,2028,Incentive,,0.2500,$/W-DC
21459,2028,System,max,1.0000,MW
21460,2028,Incentive,max,10000.0000,$
21461,2028,Incentive,max,15.0000,"% of cost"
21462,2029,Incentive,,20.0000,%
21463,2029,Incentive,max,750.0000,$
21464,4447,Incentive,max,25.0000,"% of cost"
21465,4447,Incentive,max,10000.0000,$
21600,864,Incentive,min,500.0000,$/Unit
21601,864,Incentive,max,2000.0000,$
21602,865,Incentive,,200.0000,$/Unit
21603,866,Incentive,min,0.1700,"$/square foot"
21604,867,Incentive,min,200.0000,$/Unit
21605,867,Incentive,max,3000.0000,$
21606,868,Incentive,min,5.0000,"$/linear foot"
21607,857,Incentive,,200.0000,$/Unit
21608,859,Incentive,min,1.7500,"$/square foot"
21609,859,Incentive,max,4.0000,"$/square foot"
21610,860,Incentive,min,0.3000,"$/square foot"
21611,860,Incentive,max,0.3800,"$/square foot"
21612,861,Incentive,,0.7500,"$/linear foot"
21613,863,Incentive,,50.0000,%
21614,863,Incentive,max,150.0000,$
21620,4544,Incentive,min,15.0000,$/Unit
21621,4544,Incentive,max,35.0000,$/Unit
21622,4545,Incentive,,25.0000,$/Unit
21623,4546,Incentive,,800.0000,$
21624,4546,Incentive,min,500.0000,$
21625,4546,Incentive,max,1500.0000,$
21626,4547,Incentive,min,200.0000,$
21627,4547,Incentive,max,300.0000,$
21628,4548,Incentive,min,0.3500,"$/square foot"
21629,4548,Incentive,max,1.1000,"$/square foot"
21630,4539,Incentive,,750.0000,$
21919,3209,Incentive,min,50.0000,$
21920,3209,Incentive,max,75.0000,$
21921,5229,System,max,200.0000,Horsepower
21922,5229,Incentive,,50.0000,$/horsepower
21923,5230,Incentive,,0.0500,"$/square foot"
21924,5230,Incentive,max,10000.0000,$
21925,5231,Incentive,,0.0800,"$/first year kWh savings"
21926,5231,Incentive,max,40000.0000,$
21938,698,Incentive,,35.0000,%
21939,698,Incentive,max,999999.9999,$
21940,693,Incentive,,35.0000,%
21941,693,Incentive,max,3500.0000,$
21942,694,Incentive,,35.0000,%
21943,694,Incentive,max,1400.0000,$
21944,695,Incentive,,35.0000,%
21945,695,Incentive,max,8400.0000,$
21946,696,Incentive,,35.0000,%
21947,696,Incentive,max,10500.0000,$
21948,697,Incentive,,35.0000,%
21949,697,Incentive,max,999999.9999,$
22054,2114,Incentive,,0.1700,$/kWh
22433,4071,Incentive,,200.0000,$/Unit
22434,4072,Incentive,,800.0000,$/Unit
22623,4655,Incentive,min,35.0000,$/ton
22624,4655,Incentive,max,40.0000,$/ton
22625,4656,Incentive,,80.0000,$/ton
22626,4657,Incentive,,200.0000,$/Unit
22627,4658,Incentive,,25.0000,$/ton
22806,1970,Incentive,,1.6800,$/W-AC
22807,1970,Incentive,max,6000.0000,$
22808,1971,Incentive,,1.6800,$/W-AC
22809,1971,Incentive,max,12000.0000,$
22810,1972,Incentive,,1.6800,$/W-AC
22811,1972,Incentive,max,20000.0000,$
23468,2062,Incentive,,1000.0000,$/Unit
23608,83,Incentive,max,250000.0000,$
23609,84,Incentive,max,30.0000,"% of cost"
23610,85,Incentive,max,40.0000,"% of cost"
23611,86,Incentive,max,25.0000,"% of cost"
23612,87,Incentive,max,40.0000,"% of cost"
23613,88,Incentive,max,40.0000,"% of cost"
23614,89,Incentive,max,40.0000,"% of cost"
23831,2841,Incentive,,500.0000,$/kW
23832,2841,Incentive,max,5.0000,$
23833,2841,System,min,0.5000,kW
23834,2841,System,max,25.0000,kW
23835,2842,Incentive,,500.0000,$/kW
23836,2842,Incentive,max,2.0000,$
23837,2842,System,min,0.5000,kW
23838,2842,System,max,25.0000,kW
23839,521,Incentive,,1.0000,$/W
23935,2786,Incentive,,75.0000,%
23936,2786,Incentive,max,25.0000,$
23937,2782,Incentive,max,400.0000,$
23938,2782,Incentive,,50.0000,%
23941,2714,Incentive,,100.0000,$/Unit
23942,2714,Incentive,max,850.0000,$
23943,2715,Incentive,,400.0000,$/Unit
23944,2715,Incentive,max,750.0000,$
23945,2716,Incentive,,250.0000,$/Unit
23946,2716,Incentive,max,1.0000,$
23947,2717,Incentive,,300.0000,$/Unit
23948,2718,Incentive,,125.0000,$/Unit
23949,1957,Incentive,,100.0000,%
24059,632,Incentive,,1.1500,$/W-AC
24060,632,System,max,4.0000,kW-AC
24061,633,Incentive,,0.9000,$/W-AC
24062,633,System,max,25.0000,kW-AC
24063,634,Incentive,,0.7000,$/W-AC
24064,634,System,min,25.0000,kW-AC
24065,634,System,max,1000.0000,kW-AC
25619,1952,Incentive,min,100.0000,$/Unit
25620,1952,Incentive,max,250.0000,$
25621,1953,Incentive,min,575.0000,$/Unit
25622,1953,Incentive,max,800.0000,$
25623,1954,Incentive,min,800.0000,$/Unit
25624,1954,Incentive,max,1150.0000,$
28781,628,Incentive,,50.0000,$/Unit
28782,629,Incentive,,25.0000,$/Unit
28783,630,Incentive,max,750.0000,$
28784,631,Incentive,min,600.0000,$/Unit
28785,631,Incentive,max,3.0000,$
30102,734,Incentive,min,50.0000,$/Unit
30103,734,Incentive,max,100.0000,$
30104,735,Incentive,,15.0000,$/Unit
30105,736,Incentive,min,25.0000,$/Unit
30106,736,Incentive,max,50.0000,$
