id,program_id
2568,23
8129,44
8134,45
8103,46
1570,49
1571,49
1572,49
1573,49
1574,49
1575,49
1578,50
1579,50
1580,50
1581,50
1582,50
1583,50
143,75
1659,80
193,82
342,83
343,83
344,83
4536,83
7600,83
2368,94
2313,118
1925,120
1926,120
1927,120
488,124
489,124
490,124
491,124
1337,124
1338,124
2448,130
5113,132
2298,135
2071,144
8128,145
8133,146
8105,147
8104,148
1188,154
2547,166
2548,166
159,173
434,180
2062,198
8140,215
505,234
41,241
1480,248
1481,248
1482,248
4538,248
7585,248
7586,248
4667,314
1750,327
2005,344
2006,344
1286,352
2134,358
2135,358
1176,366
2381,378
2382,378
2383,378
474,389
6761,389
2399,404
2838,416
2009,417
2449,421
1766,453
2843,486
1187,496
1949,501
1950,501
1951,501
4359,502
4360,502
2092,506
7623,506
8923,506
166,511
698,540
693,541
694,541
695,541
696,541
697,541
2106,542
228,552
8293,552
1974,569
1975,569
1976,569
1977,569
1978,569
1979,569
109,589
110,589
2061,598
194,611
1175,612
1129,624
2393,630
2394,630
2395,630
2396,630
4356,630
4357,630
7060,630
7574,630
1903,631
1904,631
2086,638
2087,638
2088,638
2089,638
2090,638
2091,638
3147,638
4789,638
4790,638
876,658
1785,678
9529,701
9499,709
545,728
546,728
198,734
8433,734
1958,738
1959,738
9530,740
9531,740
2350,756
9526,832
471,846
472,846
2013,846
351,888
2110,908
2113,909
2095,910
2111,911
2107,912
2112,913
9503,917
501,936
502,936
7652,936
1186,978
2502,1084
2503,1084
2504,1084
156,1088
3115,1091
3116,1091
71,1092
4584,1106
7137,1128
7138,1128
7139,1128
7140,1128
7141,1128
7142,1128
7143,1128
8496,1128
5146,1142
1295,1150
2986,1151
2987,1151
2988,1151
5206,1151
5153,1158
3797,1174
1891,1176
1892,1176
1842,1177
1843,1177
154,1186
359,1206
1973,1218
431,1229
1917,1230
4,1235
10398,1237
2041,1239
8111,1239
8112,1239
2464,1242
36,1255
37,1255
7591,1255
7592,1255
2371,1264
458,1276
459,1276
743,1277
744,1277
2720,1289
5359,1289
10426,1289
540,1295
541,1295
7183,1296
7184,1296
7185,1296
7186,1296
7187,1296
7188,1296
7189,1296
9751,1300
9752,1300
9753,1300
9754,1300
9755,1300
9756,1300
9757,1300
9758,1300
9759,1300
1132,1333
1130,1335
8053,1337
9132,1342
9133,1342
9134,1342
9135,1342
9136,1342
9137,1342
9138,1342
9139,1342
9140,1342
9141,1342
9142,1342
9143,1342
8822,1344
8823,1344
8824,1344
8825,1344
8346,1356
8347,1356
8348,1356
8349,1356
8911,1368
10451,1374
8350,1392
8351,1392
8352,1392
8353,1392
8354,1392
8355,1392
9122,1406
9123,1406
9124,1406
9125,1406
9126,1406
9127,1406
4606,1420
4607,1420
4608,1420
4609,1420
4610,1420
4611,1420
4612,1420
4613,1420
4614,1420
4615,1420
2787,1427
2788,1427
2790,1427
8640,1428
8641,1428
8642,1428
8643,1428
10559,1429
7934,1431
7935,1431
7936,1431
10668,1431
6500,1441
6501,1441
6502,1441
6503,1441
6504,1441
6505,1441
1324,1450
5985,1450
8336,1450
2978,1451
7165,1458
9410,1461
9411,1461
9412,1461
9413,1461
9414,1461
9415,1463
9416,1463
9417,1463
9418,1463
9419,1463
9420,1463
9421,1463
9422,1463
7081,1467
2170,1491
7671,1492
9048,1492
9049,1492
9050,1492
9051,1492
2725,1503
1880,1510
6212,1510
7566,1510
7567,1510
7568,1510
2456,1518
8876,1522
8877,1522
8878,1522
8879,1522
8880,1522
10430,1522
10544,1531
1585,1534
1586,1534
1587,1534
5408,1534
5409,1534
5410,1534
7257,1536
7258,1536
7259,1536
7260,1536
7261,1536
7262,1536
7113,1538
7114,1538
7115,1538
9538,1544
9539,1544
9540,1544
9541,1544
9542,1544
9543,1544
9544,1544
9545,1544
9546,1544
9547,1544
9548,1544
9549,1544
9760,1549
9761,1549
9762,1549
9763,1549
4358,1565
1007,1570
1008,1570
1009,1570
1010,1570
1011,1570
5622,1570
703,1571
704,1571
705,1571
706,1571
707,1571
708,1571
709,1571
710,1571
711,1571
5560,1572
5561,1572
804,1575
805,1575
806,1575
807,1575
809,1575
5562,1575
5563,1575
5564,1575
5565,1575
5566,1575
5567,1575
5568,1575
5569,1575
5570,1575
5571,1575
5572,1575
5573,1575
5574,1575
5575,1575
5576,1575
712,1576
713,1576
714,1576
715,1576
716,1576
717,1576
718,1576
719,1576
720,1576
721,1576
722,1576
734,1577
735,1577
736,1577
737,1577
738,1577
8073,1580
8074,1580
8075,1580
8076,1580
8077,1580
8078,1580
8079,1580
8080,1580
8081,1580
8082,1580
8083,1580
8084,1580
10545,1580
10491,1581
10492,1581
10493,1581
10494,1581
10495,1581
10496,1581
10497,1581
10498,1581
10499,1581
10500,1581
10501,1581
10502,1581
8389,1589
8390,1589
8391,1589
8392,1589
8393,1589
261,1590
263,1590
3824,1590
2124,1592
1749,1593
2430,1608
6125,1613
6126,1613
7306,1613
7307,1613
7308,1613
3879,1614
3880,1614
3883,1614
3884,1614
3885,1614
6089,1614
9316,1615
9317,1615
9318,1615
9319,1615
9320,1615
845,1623
846,1623
847,1623
848,1623
849,1623
850,1623
5613,1623
5614,1623
4164,1630
4165,1630
4166,1630
4167,1630
4168,1630
4169,1630
6082,1630
6083,1630
6084,1630
4242,1645
4884,1651
10781,1653
10782,1653
10783,1653
10784,1653
10785,1653
10786,1653
3898,1659
3901,1659
3903,1659
3904,1659
3905,1659
9342,1659
9343,1659
9344,1659
2316,1661
9979,1663
9980,1663
9981,1663
9982,1663
9983,1663
9984,1663
